,actor_id,type,public_repos,public_gists,followers,following
0,139,User,176,8,1118,9
1,1812,User,33,4,47,1
2,3416,User,104,132,367,8
3,3467,User,78,59,139,57
4,3579,User,210,101,188,47
5,5709,User,276,1138,61,16
6,6528,User,73,6,162,34
7,7074,User,106,71,1505,0
8,8445,User,153,94,4143,24
9,8911,User,85,0,318,0
10,8957,User,10,3,37,13
11,9230,User,125,95,532,43
12,10152,User,83,58,11,40
13,10602,User,389,61,1791,71
14,11307,User,99,0,50,4
15,11602,User,34,0,81,0
16,13387,User,359,141,245,39
17,13717,User,21,36,174,7
18,14386,User,71,29,201,16
19,14539,User,976,214,184,11
20,15606,User,95,1,67,2
21,15763,User,85,10,93,60
22,17293,User,80,4,194,0
23,18562,User,137,3,39,0
24,19588,User,19,6,57,1
25,23610,User,211,95,2469,11
26,23648,User,180,9,747,2
27,24063,User,31,86,88,18
28,24160,User,82,43,54,39
29,25519,User,7,0,156,5
30,25607,User,233,363,170,119
31,28052,User,333,282,377,3
32,28347,User,85,1,61,0
33,29231,User,36,15,22,8
34,32321,User,263,201,256,74
35,33993,User,37,3,15,0
36,34129,User,24,10,92,0
37,36186,User,253,11,445,11
38,37486,User,27,4,55,0
39,37907,User,122,4,197,73
40,38700,User,77,4,608,8
41,40828,User,73,142,147,227
42,41181,User,32,20,390,0
43,41495,User,151,94,4668,54
44,41759,User,79,3,114,0
45,41873,User,158,60,1297,31
46,43234,User,157,49,635,305
47,43312,User,229,21,1003,21
48,44319,User,114,15,223,0
49,44410,User,133,65,56,6
50,45598,User,552,169,643,839
51,47985,User,117,48,233,65
52,51265,User,98,8,72,19
53,51689,User,128,43,387,12
54,51996,User,82,40,154,22
55,52642,User,98,74,958,36
56,54133,User,261,90,329,77
57,54589,User,47,8,59,128
58,55161,User,50,2,448,24
59,58298,User,71,18,504,17
60,59071,User,118,33,319,8
61,61303,User,6,2,0,0
62,61764,User,65,10,312,7
63,62500,User,39,2,199,3
64,63286,User,108,44,185,16
65,64215,User,135,46,781,3
66,64280,User,122,17,248,50
67,64996,User,432,1627,4489,0
68,65313,User,19,5,81,28
69,67392,User,14,2,96,0
70,68591,User,96,7,252,27
71,68752,User,79,71,59,14
72,70274,User,912,30,505,192
73,72431,User,80,66,87,23
74,75213,User,14,14,3,3
