label,type,site_admin,company,blog,location,hireable,public_repos,public_gists,followers,following,text_bot_count,selected_feature_1,selected_feature_2,selected_feature_3,PCA_component_1,PCA_component_2,PCA_component_3
1,True,False,False,False,False,False,26,1,5,1,0,0,1,5,-241.88897960467412,-29.041132741110616,-58.04829524998642
1,True,False,False,True,False,True,30,3,9,6,0,0,3,9,-237.76515570466492,-26.54547800095376,-53.603338063562745
1,True,False,True,True,True,True,103,49,1212,221,0,1,49,1212,968.8270225176534,25.5850190522509,28.510663380136936
0,True,False,False,False,True,False,49,0,84,2,0,1,0,84,-162.58557830456965,-28.61371808218565,-36.31426827637501
1,True,False,False,False,False,True,11,1,6,2,0,0,1,6,-241.07976477701206,-30.264183936375144,-72.68723479373483
1,True,False,True,True,True,False,56,1,22,7,0,1,1,22,-224.41482015329885,-26.41025771005008,-27.861564087124354
1,True,False,True,True,True,True,277,1139,63,16,0,1,1139,63,-174.32807469312903,1125.2559756181959,89.51898327360745
1,True,False,True,False,True,False,37,1,22,0,0,1,1,22,-224.75536344309916,-28.276250635677027,-47.61169608757449
1,True,False,False,False,False,False,27,2,37,596,0,0,2,37,-202.74571258051787,-4.75744719981159,30.61487857699215
1,True,False,True,True,True,False,42,9,14,2,0,1,9,14,-232.6202256805994,-19.75861737192735,-42.98399656909441
1,True,False,True,False,True,False,42,13,13,26,0,1,13,13,-233.311387281629,-14.82421539343168,-39.76540510315764
1,True,False,True,False,False,False,47,2,208,4,0,0,2,208,-38.60001992818639,-27.56094485327797,-39.97696273564879
1,True,False,True,True,True,True,20,0,22,32,0,1,0,22,-224.60673642746363,-29.43512865855803,-59.519808977801134
1,True,False,True,True,True,True,17,2,34,26,0,1,2,34,-212.71073300357833,-28.013321129435145,-63.71697791655071
1,True,False,True,True,True,False,50,4,42,31,0,1,4,42,-204.19597505030646,-23.11768675478172,-30.770120130297485
1,True,False,False,False,False,False,1,2,5,1,0,0,2,5,-242.22136950700104,-30.13806696610507,-82.75815132587024
1,True,False,True,True,True,False,43,3,8,30,0,1,3,8,-238.30176187209472,-24.50563286029062,-37.226707896683315
1,True,False,False,False,False,True,36,5,26,2,0,0,5,26,-220.72454629094156,-24.325889651082687,-48.71343244281584
1,True,False,False,True,True,False,33,9,134,8,0,1,9,134,-112.69113282021901,-21.09827676258255,-52.71145328909482
0,True,False,False,False,False,False,5,1,19,0,0,0,1,19,-228.187077377494,-30.93426341546129,-79.08290009262276
0,True,False,True,False,True,False,0,0,0,0,0,1,0,0,-247.25648608908662,-32.21822839013229,-83.64067021281889
1,True,False,False,True,True,True,18,2,144,22,0,1,2,144,-102.76463987450799,-28.84106300193797,-64.93279714427652
1,True,False,False,False,False,False,19,2,27,10,0,0,2,27,-219.87429348478062,-28.427864993090537,-64.01781267324154
1,True,False,True,True,True,False,26,18,21,19,0,1,18,21,-225.586389095664,-11.515428047572163,-57.12161532594889
1,True,False,True,True,True,False,102,19,15,3,0,1,19,15,-230.74529249358136,-4.7469176933397605,15.352751054310286
1,True,False,True,False,True,False,27,1,8,0,0,1,1,8,-238.88795168420828,-29.017340278135414,-57.25554770327214
1,True,False,True,True,True,False,116,212,408,15,0,1,212,408,163.53584239375303,186.3716243849242,8.046905935056103
1,True,False,False,True,True,True,74,8,163,35,0,1,8,163,-82.82421019292744,-17.79790671211851,-8.663915269730081
1,True,False,True,True,True,False,154,0,282,32,0,1,0,282,37.15712949840527,-20.000785636018435,68.64975075896815
1,True,False,False,False,False,False,18,5,5,50,0,0,5,5,-241.3887492980927,-23.799011293832063,-59.01568663730918
1,True,False,False,False,False,False,24,0,3,14,0,0,0,3,-243.76512749482828,-29.678746395714366,-57.9721819484192
1,True,False,False,False,False,False,14,0,12,6,0,0,0,12,-234.9976528134929,-30.892423606122918,-69.13849155660249
1,True,False,True,True,True,True,99,13,29,175,0,1,13,29,-214.7587713176272,-4.296916920051284,38.232719332730674
1,True,False,False,True,False,False,64,23,20,5,0,0,23,20,-226.21440039272505,-3.900503031421751,-22.202864988860565
1,True,False,False,True,False,False,16,0,26,0,0,0,0,26,-221.04498248241003,-31.057150932066175,-68.26311224785134
1,True,False,False,True,True,False,51,5,9,9,0,1,5,9,-237.43500859700947,-22.678194013596137,-32.654261619696825
1,True,False,True,True,True,False,6,2,3,2,0,1,2,3,-244.1414288528942,-29.666421447356072,-77.65633226925439
1,True,False,True,True,True,False,126,17,261,51,0,1,17,261,16.099996450949675,-4.525888771475103,42.68971150864589
0,True,False,True,True,True,False,10,0,317,0,3,1,0,317,69.82251171303432,-33.55388916215095,-78.42463624929108
1,True,False,False,True,True,False,154,2,92,245,0,1,2,92,-150.24624890700701,-8.321840735054197,102.83532231548143
1,True,False,True,True,True,False,36,0,16,19,0,1,0,16,-230.5453613645335,-28.566510523459904,-45.60248202489391
0,True,False,True,True,True,False,10,2,7,5,0,1,2,7,-240.05216012783717,-29.24091644495657,-73.33052921284474
1,True,False,False,False,False,False,66,1,31,0,0,0,1,31,-215.3653020035976,-25.910513744609876,-19.182779565752316
1,True,False,True,True,True,True,156,16,134,17,0,1,16,134,-110.88504084759283,-3.478422007245741,69.13774871104431
1,True,False,True,False,True,False,21,1,4,4,0,1,1,4,-242.9203493726543,-29.334683049996386,-62.512983193760256
1,True,False,True,True,True,True,132,10,30,44,0,1,10,30,-214.89888411689927,-9.685710519602027,51.55776071483304
1,True,False,False,True,False,False,59,0,0,3,0,0,0,0,-246.423650830585,-27.161525734610887,-25.089991816974067
1,True,False,False,False,True,False,42,4,4,2,0,1,4,4,-242.64487532229853,-24.66855537452534,-42.39412982803745
1,True,False,False,False,True,False,18,0,23,22,0,1,0,23,-223.75381890491641,-30.00311211917661,-62.98713911141804
0,True,False,False,False,False,False,29,1,0,0,0,0,1,0,-246.85955876470842,-28.795114077272512,-55.16898986207869
1,True,False,True,True,True,False,61,87,44,95,0,1,87,44,-200.84311940261188,62.95106732989174,-17.842103844756423
1,True,False,True,False,True,False,19,10,17,22,0,1,10,17,-229.68649947676502,-19.921382817179147,-62.802173416107166
1,True,False,False,True,True,False,30,5,158,5,0,1,5,158,-88.7929430621784,-25.614752422410245,-56.10656026924625
1,True,False,True,False,True,False,82,17,110,51,0,1,17,110,-135.46760875880742,-7.1739392845391965,1.5631636949125476
1,True,False,True,True,True,False,320,173,291,176,0,1,173,291,51.03554640948586,171.7556638495066,238.00164574302636
1,True,False,False,False,True,False,130,1,27,9,0,1,1,27,-218.3923060890413,-20.171664529947837,45.24035653144042
1,True,False,True,False,False,False,17,0,2,3,0,0,0,2,-244.99129751112042,-30.690860329949455,-66.48269484730402
1,True,False,True,True,True,True,47,18,202,57,0,1,18,202,-43.87940009127225,-9.502273571338602,-33.44972468996187
1,True,False,False,False,False,False,4,1,3,1,0,0,1,3,-244.1857694921937,-30.86893270839997,-79.68563555289992
1,True,False,False,False,False,False,188,253,39,4,0,0,253,39,-204.34207438663253,235.31776698650864,79.07767936929105
1,True,False,False,True,False,False,34,0,2,0,0,0,0,2,-244.7976183967237,-29.385959871127724,-50.18519864451587
1,True,False,False,True,True,False,19,8,79,339,0,1,8,79,-163.90924643042388,-9.858227163072243,-16.521577849303558
1,True,False,False,True,True,False,38,2,105,221,0,1,2,105,-139.1029097279986,-19.065536798743523,-15.155599224321909
1,True,False,False,False,True,False,18,1,3,5,0,1,1,3,-243.94872526624883,-29.539584324852544,-65.30461946942025
1,True,False,False,False,True,False,91,10,62,319,0,1,10,62,-180.1629250123747,-2.5109474906317084,51.492187568602795
1,True,False,True,True,True,False,111,14,175,36,0,1,14,175,-70.28295710741506,-8.769574998935576,27.215673423870488
1,True,False,False,False,False,False,18,6,5,6,0,0,6,5,-241.91074735860116,-24.5354896770597,-65.62936388755278
1,True,False,True,True,False,False,13,0,44,29,0,0,0,44,-202.74115039815965,-30.28997844719946,-67.18015879104168
0,True,False,True,True,True,False,151,0,21,0,3,1,0,21,-224.22069386001388,-19.722632191152552,64.76393728310926
0,True,False,True,True,False,False,1,1,1,0,2,0,1,1,-246.2378762069763,-31.145628484843368,-82.75917484154952
1,True,False,False,False,False,False,3,0,0,0,0,0,0,0,-247.2160021231416,-31.967131356116802,-80.68617583988346
1,True,False,False,True,True,False,29,0,18,64,0,1,0,18,-228.10102268296185,-27.39462686652783,-45.852414213878696
1,True,False,True,False,True,True,16,6,10,6,0,1,6,10,-236.93860313219938,-24.737143494227762,-67.67204177123482
1,True,False,True,False,True,False,15,1,1,15,0,1,1,1,-245.86903989144966,-29.38330799071079,-66.74697662341602
1,True,False,False,True,True,False,103,30,70,6,0,1,30,70,-175.64757570964454,6.030476626687977,15.002398568758949
1,True,False,True,True,True,True,30,50,537,4,0,1,50,537,290.36534348936857,16.55414026499696,-65.78735862703147
1,True,False,True,True,True,False,26,0,62,36,0,1,0,62,-184.48484722392146,-29.049609390505722,-53.602147462998595
0,False,False,False,False,False,False,0,0,0,0,1,0,0,0,-247.25652725182795,-32.21822553106907,-83.64070654844248
1,True,False,True,False,True,True,209,1,52,6,0,1,1,52,-192.36564058525693,-13.8484160469748,122.23286400485834
1,True,False,True,False,True,False,20,9,50,0,0,1,9,50,-196.94774105200364,-21.925641324628177,-65.47327568362458
1,True,False,True,False,False,False,163,2,27,22,0,0,2,27,-217.78553451951663,-15.901937376911011,79.57925298791052
1,True,False,True,True,False,False,6,0,7,0,0,0,0,7,-240.1766693737736,-31.763961078370503,-77.83388525945644
1,True,False,True,True,True,False,56,12,12,58,0,1,12,12,-233.74388709758495,-13.381395875989519,-21.12878141892448
1,True,False,True,True,True,False,10,1,34,3,0,1,1,34,-213.08617774822474,-30.500405471750735,-73.93292204221605
1,True,False,True,False,True,False,56,8,16,20,0,1,8,16,-230.22109457224138,-18.887559097597027,-26.467406622268967
1,True,False,True,True,True,True,77,83,10,17,0,1,83,10,-235.57679513708533,57.46998403310799,-12.79958011340315
1,True,False,False,False,True,False,15,0,57,0,0,1,0,57,-190.0639900934773,-31.353355553491337,-69.70098768498026
1,True,False,True,False,False,True,53,1,0,0,0,0,1,0,-246.53537892854442,-26.786177940979957,-31.532683646498732
1,True,False,False,False,False,False,6,0,1,3,0,0,0,1,-246.1397091245796,-31.604768498304185,-77.30137645902472
1,True,False,False,True,True,False,23,0,333,3,0,1,0,333,86.03121320313772,-32.45736303263495,-65.41062016846337
1,True,False,False,False,False,False,8,0,2,1,0,0,0,2,-245.13683987887137,-31.522947781534263,-75.64288924685513
1,True,False,True,True,True,False,69,9,62,206,0,1,9,62,-181.8194196690816,-9.79663066112782,13.157248659517913
1,True,False,True,True,True,True,17,11,45,38,0,1,11,45,-201.52141682861426,-18.655107160663675,-62.89701520592508
1,True,False,True,True,False,True,35,2,59,12,0,0,2,59,-187.63982596163507,-27.229142683026566,-48.43125935402047
1,True,False,False,False,False,True,26,0,25,40,0,0,0,25,-221.43043114481495,-28.63856721640056,-52.46831511064466
1,True,False,True,False,True,False,60,16,171,45,0,1,16,171,-74.85271973774354,-10.66545148860636,-21.79582743823944
1,True,False,False,True,True,False,297,141,339,16,0,1,141,339,96.63028478552395,131.34059698592813,193.76202091866494
1,True,False,True,True,True,False,84,3,12328,437,0,1,3,12328,12084.949415972715,-89.49569318396699,-116.53003576873273
1,True,False,True,False,False,True,96,2,55,22,0,0,2,55,-190.69542020308864,-21.702077531087077,13.185571210777246
1,True,False,True,True,True,False,60,4,15,52,0,1,4,15,-230.80448011580714,-21.26885607826198,-17.412951466584527
1,True,False,True,True,True,False,422,214,4645,5,0,1,214,4645,4403.809876569078,184.54152780165842,245.83161011969645
1,True,False,False,False,True,False,7,0,189,119,0,1,0,189,-56.769368126759524,-28.24303203856806,-61.86176865312631
0,False,False,False,False,False,False,0,0,0,0,1,0,0,0,-247.25652725182795,-32.21822553106907,-83.64070654844248
1,True,False,False,False,False,False,8,0,212,21,0,0,0,212,-34.934327567646655,-32.174994023393076,-75.74583645941786
1,True,False,False,False,True,False,86,46,12,6,0,1,46,12,-233.78258416356314,20.9360378494016,-2.312523629248688
1,True,False,False,False,False,False,65,1,18,50,0,0,1,18,-227.77733618670254,-23.93674117037527,-12.562966885156264
1,True,False,True,True,True,False,1,0,1,1,0,1,0,1,-246.2311380187385,-32.10198314436042,-82.52210480240676
1,True,False,True,True,True,False,41,1,33,55,0,1,1,33,-213.04415917132243,-25.851591354802288,-35.6768764452599
1,True,False,True,True,False,False,55,42,293,5,0,0,42,293,46.715949690483214,12.39303932896644,-36.74229880589138
1,True,True,True,False,True,False,80,14,309,10,0,1,14,309,62.96302730747733,-13.306479625992623,-9.128364867901976
1,True,False,False,False,False,False,118,35,20,35,0,0,35,20,-225.06229771713106,13.748828124150346,34.36239259619223
1,True,False,False,False,True,True,151,0,14,38,0,1,0,14,-230.76411595249692,-18.17877920854646,70.501366604816
1,True,False,False,True,True,True,221,46,69,206,0,1,46,69,-172.57255725607519,39.71903575979297,159.46725496053452
1,True,False,True,True,True,False,265,15,399,89,0,1,15,399,156.39781151825616,5.667793174634882,183.3790414667181
0,True,False,False,False,False,False,0,0,12,0,2,0,0,12,-235.258654196261,-32.300454682069144,-83.8160621860781
1,True,False,False,True,True,False,177,24,107,22,0,1,24,107,-137.49454445324378,6.626778552624134,90.24539532201338
1,True,False,False,False,False,False,76,1,5,0,0,0,1,5,-241.22563632209017,-24.895253610677212,-8.954390799583363
1,True,False,False,False,False,False,174,20,166,0,0,0,20,166,-78.83028688130324,1.122385605995049,83.5211718609017
0,True,False,True,True,True,False,7,1,6,8,2,1,1,6,-241.06183516261677,-30.3627210966335,-75.73680303108651
1,True,False,False,True,True,False,36,1,30,9,0,1,1,30,-216.6624161142397,-28.06046373817534,-47.378774931486284
1,True,False,True,False,True,True,19,18,2,23,0,1,18,2,-244.62966796878118,-11.813679354435665,-63.14469491158752
1,True,False,False,True,True,False,272,35,246,0,0,1,35,246,2.558354529243141,23.71250053335836,177.53551765909972
0,True,False,True,False,False,False,0,0,11,3,1,0,0,11,-236.22250564084507,-32.17551121722147,-83.3565597151487
1,True,False,True,True,False,True,97,6,123,248,0,0,6,123,-119.9645581774526,-9.204637181902918,46.336078082779196
1,True,False,False,True,False,True,30,0,2275,51,0,0,0,2275,2028.357341879368,-43.29276864023714,-79.77788268626728
1,True,False,False,False,True,True,229,35,38,9,0,1,35,38,-205.87780146255736,21.89316447619835,139.5614616901856
1,True,False,True,False,False,False,36,0,0,0,0,0,0,0,-246.77026981412573,-29.20486043363159,-48.186313639003245
1,True,False,True,True,True,False,70,19,20,31,0,1,19,20,-225.84284985578387,-6.357458437358432,-12.083100909882635
1,True,False,False,False,True,True,141,15,76,4,1,1,15,76,-169.23849112190643,-5.843928583974135,53.37355848978125
1,True,False,True,True,True,True,30,30,616,134,0,1,30,616,370.8037440053948,1.2166397695945717,-45.888505522277136
1,True,False,False,True,False,False,45,0,16,3,0,0,0,16,-230.61557329009233,-28.443062971464737,-39.11162214287024
1,True,False,False,True,False,False,0,0,76,0,0,0,0,76,-171.26993383530555,-32.739142949568034,-84.75128707532066
1,True,False,True,True,True,False,52,13,280,351,0,1,13,280,37.67109036851546,-3.0228083511620296,14.376723717215453
0,False,False,False,False,False,False,0,0,0,0,1,0,0,0,-247.25652725182795,-32.21822553106907,-83.64070654844248
1,True,False,True,True,True,False,227,37,969,46,0,1,37,969,725.3844377403218,18.79243562024432,129.29603528515364
1,True,False,True,False,True,False,1,0,2,2,0,1,0,2,-245.2193665392501,-32.06949709942045,-82.38846582576504
1,True,False,False,True,True,False,41,0,3,2,0,1,0,3,-243.6792637357944,-28.72813515383734,-43.00929100539296
0,False,False,False,False,False,False,0,0,0,0,1,0,0,0,-247.25652725182795,-32.21822553106907,-83.64070654844248
1,True,False,False,True,True,False,23,5,2,1,0,1,5,2,-244.90782056096205,-25.288891793468856,-61.3139476807443
1,True,False,False,True,False,False,11,5,0,0,0,0,5,0,-247.0815475148398,-26.319019463790525,-73.25116805891615
1,True,False,False,True,True,True,11,0,5,2,0,1,0,5,-242.084807305688,-31.252982024999906,-72.58379704677826
0,True,False,False,False,False,False,1,0,0,0,0,0,0,0,-247.2430151921913,-32.13454121901167,-82.65586376355597
1,True,False,False,False,True,False,10,4,276,146,0,1,4,276,30.600404866073834,-23.54256088652408,-56.52970487263878
1,True,False,False,False,True,False,22,11,20,10,0,1,11,20,-226.78505521411867,-19.167559236234954,-61.759774003552316
